uid,pr_link,repo,pr_title,link_index,link,label_word,link_count,media_type,isGithub,rank
1,https://github.com/storybookjs/storybook/pull/32351,storybookjs/storybook,Cleanup: Removal of `lodash`,0,https://github.com/storybookjs/storybook/pull/32347,#32347,4,,,1
1,https://github.com/storybookjs/storybook/pull/32351,storybookjs/storybook,Cleanup: Removal of `lodash`,1,https://github.com/storybookjs/storybook/blob/next/MIGRATION.md,MIGRATION.MD,4,,,3
1,https://github.com/storybookjs/storybook/pull/32351,storybookjs/storybook,Cleanup: Removal of `lodash`,2,https://github.com/storybookjs/storybook/actions/workflows/canary-release-pr.yml,here,4,,,4
1,https://github.com/storybookjs/storybook/pull/32351,storybookjs/storybook,Cleanup: Removal of `lodash`,3,https://github.com/storybookjs/storybook/issues/32347,#32347,4,,,2
2,https://github.com/pytorch/pytorch/pull/97787,pytorch/pytorch,Allow DTensor to trigger collecives before inplace ops,0,https://github.com/ezyang/ghstack,ghstack,3,,,3
2,https://github.com/pytorch/pytorch/pull/97787,pytorch/pytorch,Allow DTensor to trigger collecives before inplace ops,1,https://github.com/pytorch/pytorch/issues/97815,#97815,3,,,2
2,https://github.com/pytorch/pytorch/pull/97787,pytorch/pytorch,Allow DTensor to trigger collecives before inplace ops,2,https://github.com/pytorch/pytorch/issues/97787,#97787,3,,,1
3,https://github.com/nodejs/node/pull/9147,nodejs/node,Release proposal: v0.12.17,0,https://nodejs.org/en/blog/vulnerability/october-2016-security-releases/,https://nodejs.org/en/blog/vulnerability/october-2016-security-releases/,3,,,1
3,https://github.com/nodejs/node/pull/9147,nodejs/node,Release proposal: v0.12.17,1,https://c-ares.haxx.se/adv_20160929.html,https://c-ares.haxx.se/adv_20160929.html,3,,,2
3,https://github.com/nodejs/node/pull/9147,nodejs/node,Release proposal: v0.12.17,2,https://github.com/nodejs/node/pull/8849,#8849,3,,,3
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),0,https://github.com/flutter/engine/compare/dc7eefb0f18a...da87db6d55e3,https://github.com/flutter/engine/compare/dc7eefb0f18a...da87db6d55e3,7,,,3
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),1,https://github.com/flutter/engine/issues/54879,flutter/engine#54879,7,,,1
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),2,https://github.com/flutter/engine/issues/54567,flutter/engine#54567,7,,,2
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),3,https://autoroll.skia.org/r/flutter-engine-flutter-autoroll,https://autoroll.skia.org/r/flutter-engine-flutter-autoroll,7,,,4
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),4,https://github.com/flutter/flutter/issues/new/choose,https://github.com/flutter/flutter/issues/new/choose,7,,,7
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),5,https://issues.skia.org/issues/new?component=1389291&template=1850622,https://issues.skia.org/issues/new?component=1389291&template=1850622,7,,,5
4,https://github.com/flutter/flutter/pull/154381,flutter/flutter,Roll Flutter Engine from dc7eefb0f18a to da87db6d55e3 (2 revisions),6,https://skia.googlesource.com/buildbot/+doc/main/autoroll/README.md,https://skia.googlesource.com/buildbot/+doc/main/autoroll/README.md,7,,,6
5,https://github.com/pytorch/pytorch/pull/112209,pytorch/pytorch,[inductor] speedup faketensorprop a bit,0,https://github.com/ezyang/ghstack,ghstack,4,,,3
5,https://github.com/pytorch/pytorch/pull/112209,pytorch/pytorch,[inductor] speedup faketensorprop a bit,1,https://github.com/pytorch/pytorch/issues/112209,#112209,4,,,1
5,https://github.com/pytorch/pytorch/pull/112209,pytorch/pytorch,[inductor] speedup faketensorprop a bit,2,https://www.svgviewer.dev/s/N6NJcEut,https://www.svgviewer.dev/s/N6NJcEut,4,,,2
5,https://github.com/pytorch/pytorch/pull/112209,pytorch/pytorch,[inductor] speedup faketensorprop a bit,3,"https://github.com/pytorch/pytorch/assets/52589240/9ec3a03b-b3e6-4520-9e2d-82e023400d38"">","https://github.com/pytorch/pytorch/assets/52589240/9ec3a03b-b3e6-4520-9e2d-82e023400d38"">",4,,,4
6,https://github.com/tensorflow/tensorflow/pull/36830,tensorflow/tensorflow,Removed six dependency in tools/git since it breaks hermetic builds,0,https://github.com/tensorflow/tensorflow/blob/master/third_party/git/git_configure.bzl,git_configure.bzl,4,,,1
6,https://github.com/tensorflow/tensorflow/pull/36830,tensorflow/tensorflow,Removed six dependency in tools/git since it breaks hermetic builds,1,https://github.com/tensorflow/tensorflow/blob/master/tensorflow/tools/git/gen_git_source.py,tools/git/gen_git_source.py,4,,,2
6,https://github.com/tensorflow/tensorflow/pull/36830,tensorflow/tensorflow,Removed six dependency in tools/git since it breaks hermetic builds,2,https://github.com/tensorflow/tensorflow/commit/c396546ca3d9424f7d902f4c5c604c209f9c0f0c,https://github.com/tensorflow/tensorflow/commit/c396546ca3d9424f7d902f4c5c604c209f9c0f0c,4,,,3
6,https://github.com/tensorflow/tensorflow/pull/36830,tensorflow/tensorflow,Removed six dependency in tools/git since it breaks hermetic builds,3,https://github.com/tensorflow/tensorflow/blob/master/tensorflow/tools/git/gen_git_source.py#L171,https://github.com/tensorflow/tensorflow/blob/master/tensorflow/tools/git/gen_git_source.py#L171,4,,,4
7,https://github.com/angular/angular/pull/63179,angular/angular,build: update cross-repo angular dependencies (20.2.x),1,https://renovatebot.com/diffs/npm/@angular-devkit%2farchitect-cli/0.2002.0-rc.0/0.2002.0-rc.1,`0.2002.0-rc.0` -> `0.2002.0-rc.1`,21,,,1
7,https://github.com/angular/angular/pull/63179,angular/angular,build: update cross-repo angular dependencies (20.2.x),3,https://renovatebot.com/diffs/npm/@angular-devkit%2fbuild-angular/20.2.0-rc.0/20.2.0-rc.1,`20.2.0-rc.0` -> `20.2.0-rc.1`,21,,,2
7,https://github.com/angular/angular/pull/63179,angular/angular,build: update cross-repo angular dependencies (20.2.x),5,https://renovatebot.com/diffs/npm/@angular-devkit%2fcore/20.2.0-rc.0/20.2.0-rc.1,`20.2.0-rc.0` -> `20.2.0-rc.1`,21,,,3
7,https://github.com/angular/angular/pull/63179,angular/angular,build: update cross-repo angular dependencies (20.2.x),7,https://renovatebot.com/diffs/npm/@angular-devkit%2fschematics/20.2.0-rc.0/20.2.0-rc.1,`20.2.0-rc.0` -> `20.2.0-rc.1`,21,,,4
7,https://github.com/angular/angular/pull/63179,angular/angular,build: update cross-repo angular dependencies (20.2.x),9,https://renovatebot.com/diffs/npm/@angular%2fbuild/20.2.0-rc.0/20.2.0-rc.1,`20.2.0-rc.0` -> `20.2.0-rc.1`,21,,,5
8,https://github.com/flutter/flutter/pull/113148,flutter/flutter,Roll Flutter Engine from 70abc40a8fcf to 823f0a9bf08e (1 revision),0,https://github.com/flutter/engine/compare/70abc40a8fcf...823f0a9bf08e,https://github.com/flutter/engine/compare/70abc40a8fcf...823f0a9bf08e,6,,,2
8,https://github.com/flutter/flutter/pull/113148,flutter/flutter,Roll Flutter Engine from 70abc40a8fcf to 823f0a9bf08e (1 revision),1,https://github.com/flutter/engine/issues/36624,flutter/engine#36624,6,,,1
8,https://github.com/flutter/flutter/pull/113148,flutter/flutter,Roll Flutter Engine from 70abc40a8fcf to 823f0a9bf08e (1 revision),2,https://autoroll.skia.org/r/flutter-engine-flutter-autoroll,https://autoroll.skia.org/r/flutter-engine-flutter-autoroll,6,,,3
8,https://github.com/flutter/flutter/pull/113148,flutter/flutter,Roll Flutter Engine from 70abc40a8fcf to 823f0a9bf08e (1 revision),3,https://github.com/flutter/flutter/issues/new/choose,https://github.com/flutter/flutter/issues/new/choose,6,,,6
8,https://github.com/flutter/flutter/pull/113148,flutter/flutter,Roll Flutter Engine from 70abc40a8fcf to 823f0a9bf08e (1 revision),4,https://bugs.chromium.org/p/skia/issues/entry?template=Autoroller+Bug,https://bugs.chromium.org/p/skia/issues/entry?template=Autoroller+Bug,6,,,4
8,https://github.com/flutter/flutter/pull/113148,flutter/flutter,Roll Flutter Engine from 70abc40a8fcf to 823f0a9bf08e (1 revision),5,https://skia.googlesource.com/buildbot/+doc/main/autoroll/README.md,https://skia.googlesource.com/buildbot/+doc/main/autoroll/README.md,6,,,5
9,https://github.com/pytorch/pytorch/pull/111176,pytorch/pytorch,"[TP] Add deprecation warnings in the documentations for Pairwise parallel, sequence parallel and other prepare input/output functions",0,https://github.com/ezyang/ghstack,ghstack,5,,,5
9,https://github.com/pytorch/pytorch/pull/111176,pytorch/pytorch,"[TP] Add deprecation warnings in the documentations for Pairwise parallel, sequence parallel and other prepare input/output functions",1,https://github.com/pytorch/pytorch/issues/111177,#111177,5,,,2
9,https://github.com/pytorch/pytorch/pull/111176,pytorch/pytorch,"[TP] Add deprecation warnings in the documentations for Pairwise parallel, sequence parallel and other prepare input/output functions",2,https://github.com/pytorch/pytorch/issues/111176,#111176,5,,,1
9,https://github.com/pytorch/pytorch/pull/111176,pytorch/pytorch,"[TP] Add deprecation warnings in the documentations for Pairwise parallel, sequence parallel and other prepare input/output functions",3,https://github.com/pytorch/pytorch/issues/111166,#111166,5,,,3
9,https://github.com/pytorch/pytorch/pull/111176,pytorch/pytorch,"[TP] Add deprecation warnings in the documentations for Pairwise parallel, sequence parallel and other prepare input/output functions",4,https://github.com/pytorch/pytorch/issues/111160,#111160,5,,,4
10,https://github.com/facebook/react-native/pull/15241,facebook/react-native,Fix Android 4.1-4.3 WebView source baseUrl bug,0,https://github.com/facebook/react-native/issues/11753,#11753,3,,,1
10,https://github.com/facebook/react-native/pull/15241,facebook/react-native,Fix Android 4.1-4.3 WebView source baseUrl bug,1,https://developer.android.com/reference/android/webkit/WebView.html,https://developer.android.com/reference/android/webkit/WebView.html,3,,,2
10,https://github.com/facebook/react-native/pull/15241,facebook/react-native,Fix Android 4.1-4.3 WebView source baseUrl bug,2,https://github.com/NativeScript/NativeScript/issues/1038,NativeScript/NativeScript#1038,3,,,3
11,https://github.com/pytorch/pytorch/pull/96311,pytorch/pytorch,Add missing fields to nn.Module __setstate__,0,https://github.com/ezyang/ghstack,ghstack,4,,,4
11,https://github.com/pytorch/pytorch/pull/96311,pytorch/pytorch,Add missing fields to nn.Module __setstate__,1,https://github.com/pytorch/pytorch/issues/96311,#96311,4,,,1
11,https://github.com/pytorch/pytorch/pull/96311,pytorch/pytorch,Add missing fields to nn.Module __setstate__,2,https://github.com/pytorch/pytorch/issues/96310,#96310,4,,,2
11,https://github.com/pytorch/pytorch/pull/96311,pytorch/pytorch,Add missing fields to nn.Module __setstate__,3,https://github.com/pytorch/pytorch/issues/96238,#96238,4,,,3
12,https://github.com/flutter/flutter/pull/79589,flutter/flutter,Roll Engine from 6b874395ee4a to f85f47139a73 (1 revision),0,https://github.com/flutter/engine/compare/6b874395ee4a...f85f47139a73,https://github.com/flutter/engine/compare/6b874395ee4a...f85f47139a73,5,,,2
12,https://github.com/flutter/flutter/pull/79589,flutter/flutter,Roll Engine from 6b874395ee4a to f85f47139a73 (1 revision),1,https://github.com/flutter/engine/issues/25363,flutter/engine#25363,5,,,1
12,https://github.com/flutter/flutter/pull/79589,flutter/flutter,Roll Engine from 6b874395ee4a to f85f47139a73 (1 revision),2,https://autoroll.skia.org/r/flutter-engine-flutter-autoroll,https://autoroll.skia.org/r/flutter-engine-flutter-autoroll,5,,,3
12,https://github.com/flutter/flutter/pull/79589,flutter/flutter,Roll Engine from 6b874395ee4a to f85f47139a73 (1 revision),3,https://bugs.chromium.org/p/skia/issues/entry?template=Autoroller+Bug,https://bugs.chromium.org/p/skia/issues/entry?template=Autoroller+Bug,5,,,5
12,https://github.com/flutter/flutter/pull/79589,flutter/flutter,Roll Engine from 6b874395ee4a to f85f47139a73 (1 revision),4,https://skia.googlesource.com/buildbot/+doc/master/autoroll/README.md,https://skia.googlesource.com/buildbot/+doc/master/autoroll/README.md,5,,,4
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,0,https://github.com/markedjs/marked,marked,54,,,1
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,1,"https://github.com/markedjs/marked/releases"">marked's","https://github.com/markedjs/marked/releases"">marked's",54,,,2
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,29,"https://github.com/markedjs/marked/commit/5d1baa4d7ca55b27cb08029ac785e98b6378fcf0""><code>5d1baa4</code></a>","https://github.com/markedjs/marked/commit/5d1baa4d7ca55b27cb08029ac785e98b6378fcf0""><code>5d1baa4</code></a>",54,,,4
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,30,"https://github-redirect.dependabot.com/markedjs/marked/issues/1157"">#1157</a>","https://github-redirect.dependabot.com/markedjs/marked/issues/1157"">#1157</a>",54,,,3
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,32,"https://github.com/markedjs/marked/commit/a089991fe35e250e5bc3fbbb99fb4ccd515b61dd""><code>a089991</code></a>","https://github.com/markedjs/marked/commit/a089991fe35e250e5bc3fbbb99fb4ccd515b61dd""><code>a089991</code></a>",54,,,6
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,33,"https://github-redirect.dependabot.com/markedjs/marked/issues/64"">#64</a>","https://github-redirect.dependabot.com/markedjs/marked/issues/64"">#64</a>",54,,,5
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,35,"https://github.com/markedjs/marked/commit/ad6c7f91254c3d8ceb3354fcd7a18294e1cb2e4b""><code>ad6c7f9</code></a>","https://github.com/markedjs/marked/commit/ad6c7f91254c3d8ceb3354fcd7a18294e1cb2e4b""><code>ad6c7f9</code></a>",54,,,8
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,36,"https://github-redirect.dependabot.com/markedjs/marked/issues/1156"">#1156</a>","https://github-redirect.dependabot.com/markedjs/marked/issues/1156"">#1156</a>",54,,,7
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,38,"https://github.com/markedjs/marked/commit/03e015ca912ae4039862c73bd3cee8e04b589085""><code>03e015c</code></a>","https://github.com/markedjs/marked/commit/03e015ca912ae4039862c73bd3cee8e04b589085""><code>03e015c</code></a>",54,,,9
13,https://github.com/facebook/react/pull/23115,facebook/react,Bump marked from 0.3.6 to 0.3.19 in /fixtures/fiber-debugger,39,"https://github.com/markedjs/marked/commit/cf2def076f9b8c0ff9c09ae5be816f0605a976ef""><code>cf2def0</code></a>","https://github.com/markedjs/marked/commit/cf2def076f9b8c0ff9c09ae5be816f0605a976ef""><code>cf2def0</code></a>",54,,,10
14,https://github.com/pytorch/pytorch/pull/123106,pytorch/pytorch,nn.Module: use swap_tensors for Tensor subclasses (#122755),0,https://github.com/pytorch/pytorch/pull/122755,#122755,3,,,1
14,https://github.com/pytorch/pytorch/pull/123106,pytorch/pytorch,nn.Module: use swap_tensors for Tensor subclasses (#122755),1,https://github.com/wanchaol,https://github.com/wanchaol,3,,,2
14,https://github.com/pytorch/pytorch/pull/123106,pytorch/pytorch,nn.Module: use swap_tensors for Tensor subclasses (#122755),2,https://github.com/mikaylagawarecki,https://github.com/mikaylagawarecki,3,,,3
15,https://github.com/nodejs/node/pull/5404,nodejs/node,Release proposal: v0.10.43 (Maintenance),0,https://github.com/nodejs/node/issues/5403,#5403,4,,,4
